year,detailedTransmission,2020_detailedTransmission,2021_detailedTransmission
2020,-1.0,665430.0,
2020,0.0,4187619.0,
2020,1.0,338773.0,
2020,2.0,2080259.0,
2020,3.0,237503.0,
2020,4.0,14403.0,
2020,5.0,863.0,
2021,-2.0,,15.0
2021,-1.0,,924547.0
2021,0.0,,6379129.0
2021,1.0,,476640.0
2021,2.0,,2596518.0
2021,3.0,,335327.0
2021,4.0,,24266.0
2021,5.0,,1289.0
