year,demandTransmission,2020_demandTransmission,2021_demandTransmission
2020,-1.0,673946.0,
2020,0.0,4177185.0,
2020,1.0,171085.0,
2020,2.0,2557.0,
2020,3.0,29387.0,
2020,4.0,2470690.0,
2021,-1.0,,933209.0
2021,0.0,,6368316.0
2021,1.0,,229513.0
2021,2.0,,62504.0
2021,3.0,,22849.0
2021,4.0,,3121340.0
