,2020_demandEngineTorque,2021_demandEngineTorque
00,,0.6352941176470588
01,2.191663241605414,0.44857556878817884
02,5.164281815387739,3.648889602053915
03,6.751912884920162,4.5192394217414265
04,3.5010340997042686,5.183503788938507
05,4.353459340273588,6.279353343632752
06,3.1717821989099377,4.168039870690497
07,5.263141007662362,5.444906809026677
08,1.5770204310828906,1.539393574277438
09,6.895770663310998,1.8469938650306748
10,0.06173959780264269,4.245299372578895
11,5.072893459399736,6.343790615272059
12,0.5879678472745541,4.186311241897283
