,2020_oilStorageHydraulicOilTemperature,2021_oilStorageHydraulicOilTemperature
00,,1.451764705882353
01,7.6553460955424955,-0.47909437939935207
02,18.492143867472656,5.341238553705072
03,14.648952812654436,19.75955532563331
04,24.995781939277215,26.372318594509736
05,31.44720323829549,23.2164273565997
06,35.943580407187184,34.4996539979759
07,32.887032881986876,40.5463480710471
08,34.38111183108642,35.691599865157315
09,34.35332562524303,25.746895705521474
10,14.113353063924828,27.718664088925248
11,20.848661903058886,28.560669354116122
12,1.7320824449173073,24.46691179056593
