,2020_frontBrakePneumatic,2021_frontBrakePneumatic
00,,5.211764705882355
01,7.260976092051637,4.837239029439181
02,8.259587968100547,8.13526893452833
03,8.266392869923118,8.237191480743823
04,8.227635834862117,8.21342233921474
05,8.214886900915504,8.05649544964884
06,8.222976716877016,7.884569789684592
07,8.235210855212978,8.218740841089451
08,8.199945574703543,7.993594502283627
09,8.22871829375494,7.812294478527208
10,7.421927503957844,8.050911665138715
11,8.132823113083214,8.236393507267529
12,7.87083908190358,8.136628894632594
