,2020_retarderOilTemperature,2021_retarderOilTemperature
00,,42.77647058823529
01,34.97069705641864,41.07492310379433
02,71.62528120077434,58.347724875422834
03,39.773594232047586,69.49457571502325
04,67.52603381474603,63.00319388805967
05,65.02339963962581,58.545841068716165
06,61.52306127116572,60.059555842291445
07,59.40413410892283,60.6329165281011
08,50.229605632586065,53.62484584920948
09,63.093817096274186,24.109079754601225
10,38.834369960838515,63.729898919624425
11,70.0393635447681,71.83144255653681
12,44.415305122643645,71.45317848777852
