,2020_oilStorageHydraulicPressure,2021_oilStorageHydraulicPressure
00,,9.952941176470588
01,14.886792719329502,8.551206995824405
02,23.954441189569405,22.05619448010144
03,24.008946677800786,23.55071066063449
04,24.280692932089664,23.196407200128526
05,23.252036688642068,24.823640736363682
06,24.368644031040226,21.33009827865949
07,23.902143890864206,23.457709898616848
08,23.428480843160262,21.90555488617642
09,24.00305661313387,17.75938650306749
10,17.521893999148624,23.22668243005208
11,22.7888468139269,23.716370626463064
12,22.4715046615667,23.7755258367382
