,2020_coolantTemperature,2021_coolantTemperature
00,,40.11764705882353
01,37.188076160937364,29.446820921353204
02,72.35527322703065,61.505609030957224
03,46.17252902763806,71.29418652343584
04,68.80718295367917,65.4943768101026
05,68.06511364477882,62.13486829280971
06,64.69191880155154,63.46687757563063
07,62.698323558485825,64.45733717231496
08,56.04601754613423,58.224985713679374
09,65.81520606864552,32.22732321362459
10,45.34961938682869,65.42455637685349
11,70.87622140244807,72.32229605759302
12,47.51183947946538,71.57743292881213
