,2020_voltage,2021_voltage
00,,22.445882352941197
01,26.40185783295133,21.523479469500078
02,27.935483520598353,27.53368699181946
03,27.842177195348167,27.778881246229055
04,27.83317626384325,27.590864355953233
05,27.710670230385926,27.74433218223758
06,27.63841503302722,27.287205888737002
07,27.70332634064119,27.438409046933398
08,27.665840784462333,27.201665998495383
09,27.640819253395684,26.976748466255692
10,26.78839128035476,27.575548975694247
11,27.62782992803836,27.814853103460862
12,27.702108783816694,27.761040300408958
