,2020_transmissionOutputSpeed,2021_transmissionOutputSpeed
00,,0.0
01,172.37049441460576,0.2412023037197881
02,76.70971229174992,58.69941591784339
03,84.99725635214124,76.16949283725867
04,59.60362318686075,92.64090753054364
05,78.67188785528582,96.73968868059252
06,47.185686762076685,61.814217953213955
07,84.78500173889631,75.23809090969554
08,23.83003757937022,23.265285434668215
09,104.2428504507649,17.127484662576688
10,0.062479495752566956,74.17615656061118
11,92.79340211740839,108.8906661980519
12,5.95439169387926,75.11914737091017
