,2020_threeAxisLeftRelativeSpeed,2021_threeAxisLeftRelativeSpeed
00,,0.0
01,-0.001282497951958086,-6.142660704585376e-05
02,-0.02768467011114374,0.002452289259734414
03,0.006335952011724971,0.002368216701523639
04,-0.0027065694115383995,0.015822731211446995
05,0.00194563893855781,-0.017932348397314786
06,0.010193051898219943,0.0002289237459773549
07,-0.019015560317261773,-0.02534967399232231
08,0.008489482095805832,0.008482816872312888
09,-0.006697062105888852,-0.05547239263803688
10,6.910367645519078e-05,-0.02786554646008392
11,0.017157641869991858,-0.08384146953773013
12,0.0017859834212509372,-0.021737162332079528
