,2020_overrideDemandTorque,2021_overrideDemandTorque
00,,125.0
01,113.70490330222394,124.91834405708678
02,116.20645957654013,120.21674368848952
03,119.28111313713127,117.30398464962828
04,115.44147955147791,116.03591590083884
05,118.19727207406838,119.9130402326457
06,117.6749963130944,118.5680339347626
07,116.48742946251276,114.91396767192165
08,123.06259772795991,120.45914642542749
09,117.13297105276452,123.19742331288343
10,124.94534527407635,117.12447948483911
11,116.0087961201978,114.64127515815748
12,124.54930084568366,117.3047905023215
