,2020_engineBurden,2021_engineBurden
00,,10.211764705882352
01,16.719023905334492,8.420556155020034
02,23.54870342122467,21.052770646127513
03,24.874490891429936,21.888556709536232
04,24.685726439051017,24.586091548497052
05,23.38813090314725,22.794361068196867
06,26.281819967018954,22.49090514309101
07,27.78843016928997,29.622886381724946
08,26.52522137272688,24.866597775143973
09,25.376606840236796,20.124171779141104
10,14.950531539895158,22.929316305043084
11,21.961354806281584,23.657460299244
12,21.150665661893996,22.417168187431265
