,2020_carSpeed,2021_carSpeed
00,,0.0
01,1.0114594584261252,0.00929095933558615
02,2.521714722147318,1.9488055198974004
03,2.800535096538964,2.5212570498330162
04,2.008949973028654,3.080027280961402
05,2.5756224015186557,3.180035896504075
06,1.5655982921155838,2.0488352694088485
07,2.782457004386654,2.5245222951118684
08,0.7941091097576813,0.7771166008490068
09,3.3894868214989096,0.5677914110429437
10,0.0025777765368587852,2.44746350824018
11,3.0654750584143904,3.5489786828081047
12,0.19712300092104043,2.484317044698629
