,2020_fuelLevel,2021_fuelLevel
00,,93.98235294117646
01,49.54786485743968,94.87555975861721
02,84.68907875580354,72.54700299571515
03,87.36197406315239,86.429636049799
04,95.03970761636357,77.09881106998462
05,96.05098152668123,98.47691134228431
06,91.66038149911255,95.26827543415571
07,85.28067469144335,92.10905328046783
08,101.88583214569327,80.51615915974764
09,91.90841642129816,46.74065030674869
10,101.91266412144093,26.977756664111194
11,98.20497812904466,78.06119582850721
12,98.58998202267998,63.172291957411964
