,2020_engineTorque,2021_engineTorque
00,,5.4
01,9.9453646973361,4.416035748805141
02,15.21906584432537,13.167736414206248
03,16.102247746289258,14.010084738338591
04,15.193612248857693,15.753310689933114
05,14.690876655075199,15.043283523959131
06,15.83923041070157,14.127397509565826
07,17.503132257087405,18.55309790428388
08,15.310846183750161,14.40636326528605
09,16.767337111522405,11.883067484662577
10,8.282878342628592,14.50813060133246
11,14.360048859787353,15.703256394439743
12,11.954123754500545,14.26518656422306
