,2020_twoAxisRightRelativeSpeed,2021_twoAxisRightRelativeSpeed
00,,0.0
01,0.01162063672915942,0.0004301342652415688
02,0.03496564153198786,-0.0013485237483950052
03,6.816516419292439e-05,0.00987516766078387
04,0.01929779299670357,0.004843580580912516
05,0.011084615890913857,0.015930777519571792
06,0.0032835936249255167,-0.009692120602439593
07,0.03268137810336988,0.03645654819836034
08,0.004882726448101583,-0.0068278220115189445
09,0.018575739066134144,0.032993865030674724
10,7.398979499242652e-05,-0.0159648126720435
11,-5.762194569826348e-05,0.03451634652629038
12,0.0012944821234195754,-0.006202467504686973
