,2020_engineExhaustGasTemperature,2021_engineExhaustGasTemperature
00,,181.28235294117647
01,185.39193028439146,181.4063268840762
02,211.03580834446657,200.393714503379
03,196.07723653475645,201.73997640054753
04,200.7056603934522,206.38942562993108
05,208.99609576417154,205.65264856685468
06,198.8083484367384,198.30218540469676
07,213.77248023659982,220.93023064999346
08,183.8533704321377,189.5239943820432
09,215.21461994146145,182.05671751968504
10,180.0167076270003,200.98717019655206
11,208.20694598410878,213.22233277998654
12,181.3677612890792,203.66297732334024
