,2020_fuelTemperature,2021_fuelTemperature
00,,16.48235294117647
01,18.49237529077281,11.726917684610408
02,37.04423283608366,28.466548086122867
03,22.594823617670627,31.354595010407042
04,36.54526156421424,34.01441649519488
05,41.1790011546869,30.23176436953386
06,42.22129479630193,38.91486322048297
07,39.527881036721034,40.45707320535742
08,38.615333419767495,37.611337033526254
09,41.31120758465841,25.945205479452056
10,21.32458272225714,37.44076226804806
11,36.97798615696699,36.20204557701732
12,15.16111586255471,36.13559258388639
