,2020_outsideTemperature,2021_outsideTemperature
00,,4.811764705882352
01,11.120149910969166,2.1325477487408957
02,22.452183431682208,13.405671317856303
03,18.328101822645806,26.398027002136555
04,25.96471484470448,27.25224420727514
05,30.77421096009037,26.752835245804945
06,32.6074700708972,31.936645797219175
07,29.91825561656184,34.30262125843694
08,32.43781891725182,34.09475634489695
09,30.472658202261062,28.608897939034406
10,18.096546546547827,37.57766192631183
11,25.703038818251716,37.98243474993583
12,9.075027880027491,36.86849718970328
