,2020_backBrakePneumatic,2021_backBrakePneumatic
00,,4.941176470588237
01,7.242715091477917,4.52159833513491
02,8.271657049876099,8.133545571250831
03,8.27607573149719,8.24728753113852
04,8.243439117118337,8.235805431069604
05,8.254131243219183,8.030964142443025
06,8.256693882721331,7.923611168584842
07,8.258335371405913,8.256315414924355
08,8.236329316227856,8.02819681664657
09,8.258005497363493,7.800012269938119
10,7.436869952462959,8.075292257498065
11,8.151331983921876,8.251091465925702
12,7.85199715707207,8.154805328342835
