,2020_threeAxisRightRelativeSpeed,2021_threeAxisRightRelativeSpeed
00,,0.0
01,0.005574440437292401,0.0004745390414192951
02,0.028241517919556723,0.0064276850663249644
03,0.01406758576029754,0.02539394439398842
04,0.0251109258496623,0.014962564289466894
05,0.01519844447614038,0.00255040440364935
06,0.01428847453590206,-0.02015364680759059
07,0.03525101809572926,0.0164666576509254
08,0.012962722992527233,-0.013406245235782674
09,0.0351120138145416,0.010797546012269954
10,0.00013960338677816323,-0.05355948282668979
11,0.0022299353366274314,-0.022993372448302175
12,0.004121242568868815,-0.03718305101280884
