,2020_oilStorageHydraulicOilTemperature,2021_oilStorageHydraulicOilTemperature
01,,28.671109544968868
02,33.28063520487779,25.067320087506335
03,33.26181593817118,20.867840701625596
04,18.11165725329026,7.802042557815622
05,21.344596499082797,16.270722253097382
06,14.71797042767774,27.000033256189084
07,25.105634056492477,26.94954569389837
08,33.42619421780928,24.422808752808486
09,29.60202078022094,26.6370675711506
10,31.866314252699055,28.18765516024157
11,27.259224739207582,25.23690874027986
12,30.683073306840317,28.854406920187504
13,24.164325507202957,29.47804343889713
14,25.261971318100766,16.9442083965606
15,27.59136776915408,19.994024321575516
16,21.864841948762038,29.827441001796114
17,20.148162080820867,25.578281964125118
18,30.288377014157728,23.09310411512005
19,25.95963343506372,31.973400257906764
20,13.8518333452718,36.60149001347209
21,25.306493664517316,34.575693611972376
22,34.385374996917285,28.380939371249323
23,33.69237057119805,24.347058355346114
24,24.492496302404692,27.47457924261574
25,26.213808690579064,31.456552510233223
26,8.149666755533334,34.374371385916064
27,31.979459997057997,27.312556755848284
28,30.549685407698608,29.035934893405248
29,23.596140430203942,26.420906883213203
30,24.013835971772856,24.88830603174009
31,26.130815000391117,25.11319460863801
