,2020_backBrakePneumatic,2021_backBrakePneumatic
01,,8.231533145406546
02,8.303758380465501,8.274438055192736
03,8.279234193104763,8.233858099200942
04,8.28951908680888,4.7995938309282895
05,8.293672747993822,8.225716365179238
06,8.260531320936444,8.214761796033445
07,8.237693552662188,8.23924353847633
08,8.267385503604066,8.208459127150388
09,8.214981083606904,8.147215630018286
10,8.281697693741355,8.277266629845577
11,8.273784880992407,8.149022656906832
12,8.27932992458842,8.291010315139175
13,8.249719759362142,7.497744892953449
14,8.267187109675707,5.294638340920623
15,7.823896087263348,8.223539122178348
16,8.120230645288858,8.234194148598037
17,7.979588630705108,8.27965356594247
18,8.2832462535621,8.150444327303742
19,8.197669944322277,8.254965375323858
20,7.392061463102026,8.280723800343818
21,8.24371828559158,6.960349858309497
22,8.276096053138101,8.275124279142617
23,8.272113655304182,7.545778229649056
24,8.107775560511342,8.243699874106344
25,8.049329250510258,8.304255185887246
26,8.062250066648769,8.263777024678818
27,8.22663989792831,8.167165740759277
28,8.17191552371882,7.845098817215133
29,8.204366642977172,8.229877528909812
30,8.197635870380045,8.02664061537298
31,7.934032725280102,7.885868737026594
