,2020_engineExhaustGasTemperature,2021_engineExhaustGasTemperature
01,,206.15825383220292
02,196.74597050130313,206.56118647777555
03,211.8964065532595,206.17659156176342
04,198.90816391208583,183.03813006225317
05,191.15951529904785,188.1003634101624
06,190.9713591126643,220.210250017383
07,200.3719366054304,202.75045361782162
08,214.51818938901528,196.89435866599177
09,211.98408066425424,203.58633680847734
10,216.84779087846593,208.36139958896334
11,200.22073032975626,213.03159213539098
12,205.71838222899277,185.61431637378774
13,208.86273714454725,182.70497539695666
14,213.26085005028318,180.0
15,199.5467894822647,197.42637999014292
16,214.82814593860607,197.2502873278221
17,211.283838839635,197.67417261352512
18,208.7134776935654,208.70565036972326
19,208.06116221924373,206.75129537015175
20,188.17385666505697,215.8657626594511
21,209.3538585013338,195.641881596343
22,205.60284784109967,208.02912900429837
23,196.62355057298325,198.74633350881473
24,220.24213719808577,196.65770648349806
25,212.20566340680193,204.9930810695683
26,185.07764140875133,209.90592687317002
27,235.32652103742072,197.7972090371432
28,189.68575744884527,217.47724928814762
29,180.0,190.3524106587512
30,183.50858661781834,190.32943126953364
31,186.28750883253514,185.56925442573828
