,2020_retarderOilTemperature,2021_retarderOilTemperature
01,,72.29326039441658
02,61.76828780036834,76.5197199448129
03,62.375816853579884,61.01615498911339
04,78.11513874476192,46.13617470429691
05,72.28315530877698,52.46453338130908
06,69.27431668444042,62.21782099583538
07,67.77317913028317,57.4445098995416
08,63.0614402583751,70.16728802726885
09,68.65424831538998,61.51763365448191
10,66.81026752665088,65.84415962803233
11,69.2602335052946,61.517538973602306
12,73.51480697548092,59.66347242791184
13,69.04800883335493,47.52563056034884
14,61.592295022271905,26.857359635811836
15,53.90590616915484,66.03722280887011
16,58.50271550419345,72.90979375430165
17,56.24976303932898,66.53754754177632
18,67.66731433288702,62.07341541552158
19,68.64718395487627,65.3087298010687
20,29.662950280293614,65.88710649729653
21,59.56191171537384,58.63327340748457
22,55.04312690622405,62.161238983826365
23,57.32340298777591,51.69855423728379
24,63.30712018481303,64.35538228323045
25,37.53230275630742,62.43547387012727
26,18.185629540758516,65.82964131978241
27,60.54166432123088,70.76629225327368
28,60.768543516032615,56.810962486473485
29,37.594253950812785,56.536887529124975
30,49.66251231870353,55.97367433891909
31,44.67906940310199,58.013622868553114
