,2020_fuelTemperature,2021_fuelTemperature
01,,37.16752716631563
02,40.02751305031561,38.94307119802218
03,40.09921920721698,31.67563660327234
04,35.967857737203715,13.41670572088508
05,38.095821581048384,24.61685481624695
06,36.09466437177281,37.05867210018885
07,38.36339829209547,34.28066724429978
08,40.10520235030039,31.78511786229663
09,41.369436426649244,32.45130260402669
10,40.96386127617038,36.22776230804969
11,39.21630998442344,35.01513931719565
12,42.78213596718507,34.32739346162165
13,37.72345418180794,36.3622332336785
14,36.36058579921747,17.751691827173346
15,34.36626190268193,35.11144952157954
16,32.486734175862345,37.75397763247347
17,33.46230942053453,34.465728127565654
18,41.38381381375334,34.72746282165317
19,39.52634505098919,36.81983575760829
20,21.33132977343673,39.47227309286642
21,34.5784387252967,43.13525220573196
22,38.21385410929061,35.29398155316184
23,38.894287298109596,31.864746150190726
24,35.22639143299986,37.25288572984597
25,27.685071574642127,36.74345872858736
26,11.747029769056201,41.56083861142451
27,40.12106112643808,34.843556706567995
28,39.63024135343407,33.147102879074076
29,28.559019468339695,33.53801108342138
30,31.41626093969354,30.873584281815482
31,32.902081362346266,32.14875935252272
