,2020_coolingFanCoolantTemperature,2021_coolingFanCoolantTemperature
01,,70.21929642096785
02,63.48306581350104,73.64768227274227
03,63.66769787147121,62.73242456237765
04,74.59722035185013,24.24832240873801
05,71.2895064342777,55.31466177095083
06,69.4292721121589,63.75962494909406
07,67.36240629251752,60.15164225102232
08,64.27770699993434,68.30530350294124
09,68.52253720573371,61.96435782091566
10,67.297451978852,66.50886014484092
11,68.37885622070257,56.86422615073801
12,71.59611926882503,62.313587130132106
13,68.50712797003175,51.84029079827559
14,62.79894697403828,17.67986848760818
15,53.77321839145378,56.722631903166814
16,59.7269105459167,71.76239953109041
17,58.14637947877422,66.42778470041881
18,68.59704934872224,63.69783279320993
19,68.22381028530677,65.43883501402085
20,34.84156305028843,66.22226024542627
21,61.60383847618292,59.661131117058396
22,56.25534400407161,63.121191444085966
23,59.66400939590275,53.633705612256335
24,64.43847165158877,64.73083498271453
25,39.98919510061299,62.78628181681661
26,23.57283210024675,66.27233056603323
27,62.519338224246106,69.72622988905285
28,62.713852286196364,57.30435967958488
29,42.8310455088675,59.71033047806167
30,53.300666805788836,58.422065591021195
31,43.57936271823803,61.01080633719966
