,2020_threeAxisLeftRelativeSpeed,2021_threeAxisLeftRelativeSpeed
01,,-0.04436689682580112
02,-0.000406921301857076,-0.031032270523116325
03,-0.022488444419080527,-0.005435751166317058
04,0.020949944153550303,-3.9041312680606993e-05
05,-0.0053468975980162665,0.0036431585489519365
06,0.00041136032301144636,0.0006338538512692483
07,-0.013145744529385554,-0.007919243148344015
08,-0.003836222983319476,0.00010005173778158995
09,0.016550294732207645,-0.05499669405875327
10,0.010650839662514826,-0.027507602474066972
11,-0.007595131921620107,-0.037075154706209076
12,0.009506105783638192,-0.012528836877647793
13,-0.03603500332344739,-0.01533741380646051
14,-0.0048419194078993385,0.0
15,0.011186393322390693,-0.02007620287916536
16,-0.009884543827947276,-0.05060135552885521
17,-0.02798148610971893,-0.02220135114401012
18,-0.012738815030473246,-0.029301272313844995
19,0.011267012198527122,0.013236995087948721
20,0.007079519450801113,-0.024142546686575936
21,-0.00581160940670431,0.009483753178239513
22,-0.008871186524280393,-0.006612158467226708
23,-0.002857595306591419,-0.013989981848196413
24,-0.022202605939666845,-0.006292728272611253
25,0.06762904636920407,-0.0018598431706586243
26,0.004505465209277511,0.0069779819962544915
27,-0.054800547883510305,0.0017714852366432666
28,-0.0038045239484088378,-0.005857492823541223
29,-8.720366901362962e-05,-0.01133511648450566
30,0.00033942506768593116,-0.01037162275643538
31,0.0017302121662882107,0.0005924699823966776
