,2020_carSpeed,2021_carSpeed
01,,2.1468636679748094
02,1.3171256360420092,1.8440844526457212
03,2.1737388724034887,3.337001343812619
04,1.6165685723112764,0.5453767416956544
05,1.4557970289023514,0.9003557292859535
06,1.0792601941690394,5.466849493215099
07,2.2714089304949026,2.7730662245197757
08,3.3998141551809975,1.941151317791536
09,3.1986612877974387,2.6104600571457355
10,3.288610710757925,3.1650352961172827
11,1.5944559685654813,3.733329695862461
12,1.9125593097592604,0.5135664804974016
13,2.932409337223934,0.5803522636295732
14,2.413809346380527,0.0
15,1.7079040501052634,2.008971701102049
16,4.067266795446094,2.2807927860667467
17,2.577323405595159,1.9233611683256966
18,2.5545820070028746,3.1406086145538
19,2.552172941911054,1.809372592527558
20,1.4326328303775697,2.0542732783697035
21,2.3239640095896887,1.6030071461372837
22,2.3184082669493624,2.6548773344477654
23,1.3571454964311762,2.3280998631558467
24,4.133817584223717,1.4335885747144985
25,5.902755905511757,2.527104106123086
26,0.6335177286057074,3.3990936718948497
27,6.13040659711803,2.031432687465376
28,0.44925465033378387,3.5932130994794043
29,0.00045216717266326466,1.4553111332037507
30,0.3194776238254494,1.4433222111497674
31,2.448845220386738,0.3782559575418398
