,2020_engineSpeed,2021_engineSpeed
01,,654.838141423675
02,623.6186004527818,650.2806355404883
03,634.2380592330518,682.8745089323381
04,626.6698563835265,251.49510658975527
05,613.4871044504855,558.9883713323084
06,620.7798871680704,731.305123445147
07,648.9672630254628,722.6072252023798
08,718.7432675683018,632.9622466370442
09,672.6096385258171,652.1498476905639
10,708.5413955123919,672.037472154611
11,636.1716186599534,744.5488535144794
12,642.6607762711018,610.6507051524039
13,691.508584658022,441.5089073112781
14,642.3622008070218,269.76125442589785
15,568.1019220247034,673.2480412516279
16,683.2061831809644,606.9910875727635
17,580.8475784909102,641.1278379371109
18,684.5331899788794,699.7894490590991
19,685.8993761136295,608.9476970881786
20,407.70973076372997,638.9500598169324
21,662.834669051996,387.43729208436474
22,658.920544882071,703.4716550731749
23,625.2620097050407,559.7284187392328
24,745.2404930156122,602.722290305201
25,801.815543890347,660.4542163543441
26,613.8690349240203,718.0883716429105
27,816.0973994296007,649.9786660472162
28,608.331119719609,666.5089589251094
29,542.8559847555067,612.9281455740813
30,599.7313863672559,588.1440416074167
31,407.94644954200265,642.8640077769895
