,2020_fuelLevel,2021_fuelLevel
01,,86.85136698368892
02,100.66515909253812,72.83442539612196
03,95.74533140273515,83.70470025524436
04,101.79545544579882,91.11691938888777
05,97.95383477989901,78.35318684379038
06,78.64889987394442,68.14004943767614
07,89.66365757469853,75.78416112372258
08,94.60816016164377,95.1392876161597
09,94.96603331346184,94.08569619560255
10,85.98510307513345,88.35736059099067
11,92.85671989001415,80.29173180024098
12,97.93575754111585,79.00990504395331
13,88.66119047339595,71.06824100615324
14,85.20450424855886,66.1682346990406
15,82.42072550332821,83.25790943633642
16,92.79252784024035,91.97871953835183
17,98.57041088233602,84.4401479469693
18,93.10577686183754,73.48627529272122
19,90.26230690707096,81.9884778227196
20,78.09824799781538,78.77162389840854
21,89.67901315742647,87.39596853636367
22,78.13008525084055,75.03257295926917
23,87.89538690090785,62.15656841092625
24,99.66617819015411,48.18308511729828
25,101.78482064743028,55.83148298921953
26,90.24530125300426,47.92961738826926
27,94.52846273647337,80.0596936838102
28,95.14497449838959,68.42258142068935
29,71.93926425941473,92.49144856876714
30,78.75629093000222,78.67128741147492
31,90.6751741955725,101.14881243279068
