,2020_frontBrakePneumatic,2021_frontBrakePneumatic
01,,8.208907903243723
02,8.278307236499103,8.251056730898672
03,8.259033325721939,8.219614718968991
04,8.268516860871593,5.093769285369046
05,8.263048417028596,8.204826469521677
06,8.2433669608699,8.193198852411491
07,8.222497581054862,8.204001170391177
08,8.235839868799909,8.196504656399204
09,8.185997989670723,8.131194212243567
10,8.248197947067814,8.261862590975344
11,8.241433185569374,8.134599855420449
12,8.26318237439458,8.28441889054013
13,8.244068756130089,7.459759820251332
14,8.232361957356492,5.445827010622224
15,7.807786470153693,8.202838865239098
16,8.10810507668769,8.215883718493675
17,7.965447770640826,8.268230215236356
18,8.255689581239507,8.134218348895356
19,8.18450106859013,8.225424412616244
20,7.361994064643349,8.245222528268995
21,8.219362275187624,6.881301593860579
22,8.271601680352479,8.24934495114952
23,8.245544315539771,7.504618054767102
24,8.100901514260485,8.231686965948109
25,8.017643627879584,8.281001665998607
26,8.096600906424994,8.23461968649247
27,8.207987466226502,8.17387747374843
28,8.144211699253054,7.823744382835047
29,8.20238679671407,8.212203710151101
30,8.195184290817524,8.041203211247199
31,7.931543098724026,7.864340138197038
