,2020_oilStorageHydraulicPressure,2021_oilStorageHydraulicPressure
01,,23.96997354825928
02,24.591437909924235,23.92058812169984
03,25.52061101917405,23.83241633071249
04,25.233191010702157,10.34533100758652
05,24.544577246228453,22.34973504301604
06,23.94021456180457,22.87185877517907
07,23.540943522868286,23.70356461523457
08,24.425118247573664,24.24223324608879
09,23.176198670208926,22.2718608316803
10,24.474187115532434,22.993404512317333
11,25.29146218290163,22.47780596818094
12,24.85032745230218,23.407952686547937
13,23.98725200815563,17.890625758632524
14,22.758756779872318,24.38745574102175
15,21.161717249327882,23.65859561437373
16,22.273770885817527,22.730272213991285
17,19.442319040029748,23.945499286302205
18,24.233656283535293,22.278039407729924
19,23.286307496281122,23.439288450354443
20,14.376895916762038,24.6497794347221
21,23.948323308592265,14.041271743635145
22,24.302552593287015,23.99378151186055
23,24.929473688178863,19.944322491033546
24,24.04614438314412,24.104823810865756
25,22.883391659375924,24.900934149213153
26,25.758357771261036,23.941666340983392
27,24.18383086910884,24.30216814176267
28,23.214417904345567,21.755006688007867
29,22.17622569601444,22.098768825428483
30,23.872467181429,22.03085230262829
31,17.00905034056244,23.206435721605054
