,2020_positivePressure,2021_positivePressure
01,,0.03728556214157396
02,0.047882771723704746,0.03581185760573727
03,0.0,0.006180907315205447
04,0.0,0.09863759838018626
05,0.0,0.0
06,0.0,0.04184168975482008
07,0.0,0.019208933734445835
08,0.0,0.002724774901626509
09,0.0,3.542644584182091e-05
10,0.0,0.016463703361946396
11,0.0,0.0569918486601968
12,0.0,0.007812726903081265
13,0.0,0.0
14,0.02642611232738633,0.0
15,0.0,0.00010912745558776582
16,0.005253853894860533,0.0013212544041813522
17,1.9481025481181325e-05,0.020394164725141852
18,2.4164025404445367e-05,0.041526909494753204
19,0.0,0.012848340733842006
20,0.0,0.0
21,0.0,0.0
22,0.0007234700253214509,0.0036897921645528105
23,0.0020853602431537737,1.5406540076262373e-05
24,0.0,5.0258973320861665e-05
25,0.0,7.82970087410781e-05
26,0.0,0.002300489319289653
27,0.0,0.0
28,0.0,0.004828622970535051
29,0.0,0.005853250043871678
30,0.14444952486978507,0.0
31,0.0,0.0
