,2020_threeAxisRightRelativeSpeed,2021_threeAxisRightRelativeSpeed
01,,-0.04733029904127964
02,0.025774351582916032,-0.008352358065484428
03,0.041566565852548,-0.009127839137650796
04,0.01942822740991328,0.003371077916700509
05,0.03939515290602439,0.0008210395472834661
06,0.021129838523544844,-0.058477857305958315
07,0.029994740772391826,-0.03948034721546913
08,0.0503626766731667,-0.020029749223934162
09,0.004023376531545622,0.02169907669783762
10,-6.107477727308158e-05,0.007961201585443143
11,0.02274542938875743,-0.009826401676872924
12,0.02023149535511261,0.004207360945753107
13,0.04916885413969746,-0.009093773404611975
14,0.03606828776722824,0.0
15,0.004475022992118171,0.0006631234381040586
16,0.002486714083517009,0.005422990329313263
17,0.01726459218482694,-0.005409690482942642
18,0.015515099532695833,-0.02872609537831661
19,0.006881786477553667,-0.012694716918779695
20,0.0013157894736842474,0.037078769780543
21,0.02816321966844554,0.00791675533999441
22,0.04611767413947911,-0.015968515215214783
23,0.025351119623865537,-0.003957709124426191
24,0.018886723793873482,-0.0205821513414877
25,0.09934383202099749,-0.057956395931445866
26,0.0011130365235937144,-0.034109946718334234
27,0.024840513359348386,-0.007893113558548734
28,0.014662947396761033,-0.02287088386913136
29,-8.720366901362962e-05,0.0051743189296174575
30,0.0032568880394966693,0.008736325872513571
31,0.009747122837234747,-0.005072121068810584
