,2020_voltage,2021_voltage
01,,27.706660747230742
02,27.725685542296954,27.882542162135685
03,27.6933534010281,27.667209542179467
04,27.882580660450333,21.988096722125732
05,27.826211580905046,27.482265055068957
06,27.95478454720484,27.52834473318126
07,27.754809578283556,27.799106993092586
08,27.694474163141756,27.76242239334217
09,27.63403874881884,27.605739645279147
10,27.76901727443809,27.666945778127353
11,27.82989810739163,27.466983354106148
12,27.861482993658083,27.723669309101858
13,27.86958868004276,26.573866377429514
14,27.706643957777562,25.335508345979246
15,27.278842594144994,27.809431030439644
16,27.52823824746215,27.586918038393343
17,27.15393339015947,27.812509473442045
18,27.816555828808063,27.375555916014388
19,27.783739358675433,27.529604482355737
20,26.34650404032388,27.650091039088576
21,27.739817351234752,26.222561016614094
22,27.8012947936588,27.688058372004974
23,27.730301293602448,26.790098409996215
24,27.783634229337366,27.647187087344562
25,27.80148731408228,27.75115899643008
26,27.967182084775132,27.698594726281716
27,27.684972605859617,27.80051124188516
28,27.700260498373876,27.347877421459792
29,27.474672178816338,27.498837463347623
30,27.806496139302613,27.45993774559723
31,26.23136303139409,27.707050524201833
