,2020_twoAxisLeftRelativeSpeed,2021_twoAxisLeftRelativeSpeed
01,,0.01139225572500307
02,-0.0072001048240915265,0.00517272454190393
03,-0.020034666742751603,-0.008494415873856189
04,0.015869897575234316,0.0006871271031765494
05,-0.00924444170626335,-0.005160936835563214
06,-0.0023799298233311787,0.013521884585993078
07,-0.02351281537207078,0.002410221398614143
08,-0.037165663392402105,0.021738237263375367
09,-0.005431962406275508,-0.0406359214130688
10,0.001487309632927234,-0.02641047897104757
11,0.0065014867926336565,-0.02984886306284951
12,0.0008153531115781944,-0.007960752807864162
13,-0.032917995110597356,-0.004904832003305948
14,-0.010412106174610391,0.0
15,0.010840056345243545,-0.01690559994368903
16,-0.01168626543346479,-0.02735963510376547
17,-0.02851833699565743,-0.010205182330048615
18,-0.015768989935003655,-0.0018022626537374442
19,0.0030316105811963507,0.024204662261771957
20,-0.0006981192791763043,-0.011882394037471886
21,-0.015485018794333564,0.0037111190761586403
22,-0.013833329222875789,0.007994093839865003
23,-0.008394068387733615,-0.01348804728198688
24,-0.03276393942952222,0.011371687468412066
25,-0.001749781277340197,0.036761887463672066
26,0.007671287656624945,0.006571716235561507
27,-0.07259831882319134,0.003695035156418245
28,-0.0051680900601761524,-0.01097584802440515
29,9.689296557069957e-06,-0.011720474125326466
30,-0.0034629319955407573,-0.014582750165151521
31,-0.026039301651922146,0.000722524368776432
