,2020_twoAxisSpeed,2021_twoAxisSpeed
01,,2.3826955317669114
02,1.4206991184584696,1.9932156803844836
03,2.3727673476375215,3.768845371051057
04,1.6782428568033692,0.5881029965601314
05,1.5255338811407066,0.9920627391972928
06,1.1351236856482187,6.292130185738862
07,2.5086643595800266,3.1735979713254263
08,3.8293558649022867,2.0938257045467052
09,3.581196574001556,2.9349314017191053
10,3.6636288134145207,3.599769649588206
11,1.6929509304128918,4.289663670300186
12,2.0508003695934525,0.5687180777781012
13,3.2791903721146136,0.6638893623615225
14,2.626962617020452,0.0
15,1.8645042433555392,2.264356939213965
16,4.615831827447824,2.497205534104023
17,2.9342438809060924,2.1025372308521146
18,2.872699231483377,3.551134290090186
19,2.829779786893905,1.9215370485217977
20,1.617769415045768,2.157770791407273
21,2.585482157714586,1.738251436507981
22,2.512614167920301,2.935814274252101
23,1.4793513383076755,2.622215290133649
24,4.699519192393446,1.5515583868148388
25,6.5331146106736595,2.785446938571156
26,0.6740669154891983,3.8599108932455364
27,6.986930538877078,2.273056636774475
28,0.44859430542884227,4.070026000571678
29,8.720366901362962e-05,1.6421264847195391
30,0.3595178372352296,1.6218410946019817
31,2.7656071400610527,0.4219542313654382
