,2020_outsideTemperature,2021_outsideTemperature
01,,38.45685790261615
02,29.489372561013088,34.67948678878617
03,30.176719905227657,25.796611921692932
04,24.683928076142386,7.982342611511834
05,27.361789137871174,22.936642472107692
06,25.0189720871503,34.30034241299244
07,26.698111191553703,32.07030185233181
08,30.10896453487718,27.960625732951893
09,29.123597505620804,29.51911303018067
10,31.28625395679774,32.01194081064993
11,27.008023201499558,28.805606800750798
12,28.429042398439826,32.099973206022156
13,23.474033978711624,32.384566445293814
14,25.258412393266426,24.22431025507497
15,25.542582335973748,29.968358229974864
16,25.31352578917221,31.810504217616895
17,22.679532040341805,28.499813004980986
18,30.54980488098063,30.12334534899377
19,26.619240699129495,33.19794557017246
20,15.533658619487216,34.36846068180548
21,27.5616220892656,34.1430667589388
22,27.300055081928786,31.594753931563595
23,30.014260825611846,28.545944182573816
24,26.42296625772726,33.421958698968986
25,26.92354659655315,34.60116665204407
26,5.261700707515792,37.45928515839495
27,29.62935325250361,33.0335981703707
28,29.150298289019243,31.351935825410642
29,21.715993663313455,29.958733689014075
30,23.090185887666888,28.41879759923575
31,27.989101654843722,30.93389788163113
