,2020_twoAxisRightRelativeSpeed,2021_twoAxisRightRelativeSpeed
01,,-0.0019283070885700196
02,0.02010657116027139,0.014123717976224427
03,0.03503052955946231,-0.0027149945156811363
04,0.009111288904379275,0.004889645546711973
05,0.029037897282270426,0.005769356579764919
06,0.01699315470712507,-0.034405309084413416
07,0.023134499661488304,-0.016099483078122496
08,0.02378966022387871,-0.0013737141639788254
09,-0.001521225601042473,0.03730164352507184
10,0.0014079586912422106,0.024239297355371395
11,0.02776511934524335,0.008226368939632364
12,0.02326066327040097,0.010516466462106524
13,0.03260930793235327,0.0007763229255442871
14,0.032601184704683976,0.0
15,0.007943049395219984,0.004824187814578832
16,-0.009259638409428238,0.023046323623764704
17,0.01650897618576185,0.026030909860189678
18,0.01619401978371897,0.0013384404719945875
19,0.003994344919311572,0.0019004414191506269
20,0.0009761155606407019,0.05171428836397883
21,0.02076519085375376,0.006945922333359107
22,0.0342088604993385,0.000888797526133879
23,0.019281133235051044,0.0030929952528044305
24,0.014875924404274495,0.001487062528090752
25,0.025794692330125397,-0.02278253081471745
26,-0.0030525193281791254,-0.02175131622290874
27,0.04725964425097704,-0.005061860459667599
28,0.013955986977570414,-0.01677953619791169
29,-9.689296557069957e-06,0.0022444312435165987
30,0.0026437330785157053,0.008436810695211211
31,0.022813747749158356,-0.0020348913586085396
