,2020_demandEngineTorque,2021_demandEngineTorque
01,,4.303241890616462
02,1.8597104234456552,3.6059520233446336
03,3.617096553298334,5.684704206975888
04,3.0147497999825728,0.7499208716251923
05,2.034762920578201,1.636477380524026
06,1.7481820386293054,7.542860830115255
07,3.7651870079602077,5.0564829805910465
08,7.619485270782503,3.3973499604358146
09,5.825869758843229,5.053154812505904
10,5.867021239679173,4.780906105651628
11,2.7818053072740976,6.703084575757162
12,3.2154598691439418,1.2277201846850772
13,5.60449455291056,1.2351333901500479
14,5.1062254156839995,0.14011127971674253
15,3.4804479679623745,3.836162049910246
16,7.68641231295121,3.8428193133698074
17,4.630037034272119,2.865055305774211
18,4.843868476315308,5.430983446507609
19,5.3014731637485975,3.7745049860836013
20,3.5240542763157894,3.8660038888734323
21,4.525797402665737,2.5004452334815577
22,4.7124078230201984,5.512133931906748
23,2.5251316816414864,4.917795698510628
24,7.272571898110106,2.8237773677290403
25,12.13108778069408,5.057793240805692
26,2.3322447347374036,6.411376185717237
27,10.962980336235365,3.1099902007097655
28,1.5141367155755645,8.05482363196417
29,0.011271881661391384,2.8779967558550044
30,0.6040870361522536,2.7402783531703823
31,4.1473420496359505,1.5134389532592418
