,2020_coolingFanHydraulicValveDutyRatio,2021_coolingFanHydraulicValveDutyRatio
01,,96.51564875073814
02,58.83774031275649,96.22505192476059
03,62.92288932308816,86.59509045552163
04,96.61584534096671,81.86602931726543
05,95.9095555675038,98.54824179775991
06,97.11204430329589,82.32738228775733
07,93.58655842137632,75.73179713249104
08,57.8105984867234,96.4481880364372
09,73.28655462222862,75.37709779706363
10,66.23599756655702,76.78688307694871
11,79.31511905252673,75.17569191559924
12,71.37895315183974,67.2149512962764
13,90.24949725687611,63.236151442255064
14,61.51575897722979,100.0
15,64.67643672466596,89.98320615268182
16,79.15754559953903,87.67914066247279
17,80.62766715048316,85.44882902427325
18,77.04386071207742,82.96324450974295
19,91.85635221020354,62.074299620341975
20,99.69248777609987,58.310542309673764
21,71.97462665978937,72.8750252022408
22,34.63202949655202,68.84970038206023
23,61.71429821080412,67.29466254869834
24,89.20702335946065,76.15855430854553
25,93.78709536307444,58.590883981383655
26,100.0,64.32016924361324
27,65.94837135984228,89.1677587735706
28,82.32238093122557,70.67248147670257
29,46.21711185042888,73.8348456263679
30,67.98996313189438,87.35122101431202
31,96.49087919831155,95.90321589022291
